2025-11-08 18:30:17,981 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,983 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,986 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,986 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,987 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:17,990 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:17,991 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:17,999 INFO    MainThread:98791 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 18:30:18,002 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 18:30:18,002 INFO    MainThread:98791 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 18:30:21,160 INFO    MainThread:98791 [wandb_run.py:_finish():2272] finishing run amal-akhmadinurov-stu/zneus-project-1-binary/bl22of89
2025-11-08 18:30:21,160 INFO    MainThread:98791 [jupyter.py:save_history():429] not saving jupyter history
2025-11-08 18:30:21,160 INFO    MainThread:98791 [jupyter.py:save_ipynb():353] not saving jupyter notebook
2025-11-08 18:30:21,160 INFO    MainThread:98791 [wandb_init.py:_jupyter_teardown():610] cleaning up jupyter logic
2025-11-08 18:30:21,160 INFO    MainThread:98791 [wandb_run.py:_atexit_cleanup():2471] got exitcode: 0
2025-11-08 18:30:21,160 INFO    MainThread:98791 [wandb_run.py:_restore():2453] restore
2025-11-08 18:30:21,160 INFO    MainThread:98791 [wandb_run.py:_restore():2459] restore done
2025-11-08 18:30:22,046 INFO    MainThread:98791 [wandb_run.py:_footer_sync_info():3835] logging synced files
