2025-11-08 22:01:39,726 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,726 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 22:01:39,727 INFO    MainThread:25640 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 22:01:39,737 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,737 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 22:01:39,739 INFO    MainThread:25640 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 22:01:39,747 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,747 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 22:01:39,751 INFO    MainThread:25640 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 22:01:39,757 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,757 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 22:01:39,757 INFO    MainThread:25640 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 22:01:39,766 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,766 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 22:01:39,768 INFO    MainThread:25640 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 22:01:39,772 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,772 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 22:01:39,793 INFO    MainThread:25640 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 22:01:39,797 INFO    MainThread:25640 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 22:01:39,797 INFO    MainThread:25640 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
