2025-11-08 18:04:07,282 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set batch_size = 32 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,282 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb batch_size 32 None
2025-11-08 18:04:07,282 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set learning_rate = 0.001 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb learning_rate 0.001 None
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set max_epochs = 50 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb max_epochs 50 None
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set desc = MLP: (512, ReLU) (256, ReLU) (1) - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb desc MLP: (512, ReLU) (256, ReLU) (1) None
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set loss_function = BinaryCrossentropy with logits - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb loss_function BinaryCrossentropy with logits None
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set reduce_lr_patience = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb reduce_lr_patience 10 None
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_config.py:__setitem__():154] [no run ID] config set early_stopping_patience = 10 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x11b836510>>
2025-11-08 18:04:07,283 INFO    MainThread:79102 [wandb_run.py:_config_callback():1390] config_cb early_stopping_patience 10 None
