2025-11-08 21:23:40,081 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,081 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,081 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,085 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,085 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,247 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,250 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,250 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,251 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,255 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,255 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,268 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,272 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,272 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,273 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,277 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,277 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,278 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,290 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,291 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,297 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,306 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,306 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,877 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:40,880 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:40,880 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:40,933 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
2025-11-08 21:23:47,283 INFO    MainThread:1260 [jupyter.py:save_ipynb():353] [no run ID] not saving jupyter notebook
2025-11-08 21:23:47,283 INFO    MainThread:1260 [wandb_init.py:_pre_run_cell_hook():584] [no run ID] pausing backend
2025-11-08 21:23:47,285 INFO    MainThread:1260 [wandb_init.py:_post_run_cell_hook():595] [no run ID] resuming backend
